User_id,Gender
77116653000_M,male
86441200009_F,female
86441200029_M,male
87016797000_F,female
87016815600_M,male
88014017300_F,female
88014023700_F,female
88014033200_F,female
88014036100_F,female
79110001000_F,female
87016805700_M,male
87441200014_F,female
88014022000_F,female
88014026100_F,female
88014027100_M,male
88014035000_M,male
87016800600_M,male
89013672400_F,female
88014045000_F,female
88259100184_F,female
